Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-JUN-2026,58011.95,58011.95,57456.65,57542.9,398655816,12174.39
29-JUN-2026,58191.45,58318.05,57637.25,57727.35,529807813,15216.72
25-JUN-2026,58493.85,58706.05,58109.85,58177.05,296548901,11723.43
24-JUN-2026,57074.9,58256.35,57074.9,58150.35,283234744,10087.13
23-JUN-2026,57886.75,57970.9,57078.45,57183.75,267194713,8078.02
22-JUN-2026,57906.9,58009.1,57720.1,57935.6,293508621,6179.56
19-JUN-2026,57754.95,57804.9,57464.55,57685.75,285767830,8320.26
18-JUN-2026,57596.45,58021.25,57583.2,57963.8,409619907,9497.94
17-JUN-2026,57434.05,57646.15,57222.4,57585.05,583416456,8606.79
16-JUN-2026,57320.1,57399.7,57076.25,57297.15,375449405,8421.31
15-JUN-2026,57679.65,57804.5,57119.2,57198.8,350698837,10405.77
12-JUN-2026,55934.1,56867.1,55726.55,56814.8,337387698,11266.63
11-JUN-2026,54779.65,55600.15,54753.15,55176.75,339375955,12836.78
10-JUN-2026,55110.5,55555.85,55026.15,55100.3,343154351,13345.76
09-JUN-2026,54265,55318.35,54242.3,55194.5,409677431,12999.48
08-JUN-2026,53853.45,54455.2,53843.3,54063.75,299385492,7633.01
05-JUN-2026,54405.2,54865.5,54140.6,54496.25,368963233,9300.99
04-JUN-2026,53918.85,54461,53829.4,54307.85,273684619,10811.33
03-JUN-2026,53541.1,54299.35,53027.15,54185.95,339085249,11264.39
02-JUN-2026,53265.1,53933.55,53121.85,53714.65,406403053,11650.52
01-JUN-2026,54403.85,54582.75,53470,53643.1,322916279,8897.06
29-MAY-2026,54748.3,55184.45,54116.15,54239.2,1042592835,28804.71
27-MAY-2026,54992.95,55221.7,54738.6,54853.85,268052806,10775.54
26-MAY-2026,55311.8,55536.8,54979.75,55092.9,321273666,10203.91
25-MAY-2026,54610.55,55405.2,54590.7,55293.65,262419167,8342.54
22-MAY-2026,53483.85,54213.05,53483.55,54055.35,229338156,6961.71
21-MAY-2026,53963.1,54109.15,53156.15,53439.4,285518874,8275.44
20-MAY-2026,53015.7,53640.9,52836.1,53562.2,221449458,7542.58
19-MAY-2026,53553.75,53770.65,53337.05,53409.15,267772359,12908.09
18-MAY-2026,53282.15,53667.55,52783.45,53537,311842492,8918.05
15-MAY-2026,54207.75,54325.45,53628.3,53710.35,315128143,9386.86
14-MAY-2026,53639.5,54393.75,53191.6,54128.95,311812842,10760.56
13-MAY-2026,53600.4,54103.9,53194.25,53456.15,305888706,9802.4
12-MAY-2026,54178.4,54365.45,53457.5,53555.2,364373903,11609.66
11-MAY-2026,54832.45,55002.45,54360.7,54439.9,486830100,15093.47
08-MAY-2026,55783.95,55797.7,55062.5,55310.55,429519591,13194.96
07-MAY-2026,56114,56334.15,55783.2,56047.4,463458813,12910.17
06-MAY-2026,55113.4,56078.8,54587.2,55981.05,653257428,12948.63
05-MAY-2026,54691.3,54888.55,54221.65,54547.05,379764576,11440.82
04-MAY-2026,54937.9,55602.3,54723.5,54878.5,282611679,10905.29
30-APR-2026,54880.65,55111.6,54440.25,54863.35,299008947,12752.95
29-APR-2026,55634.5,56178.75,55290.5,55403.6,313099005,8349.57
28-APR-2026,55862.5,56138.05,55263.75,55400.35,292572868,11063.72
27-APR-2026,56162.6,56474.95,55911.1,56264.3,235494222,9140.62
24-APR-2026,56170.2,56460.5,55750.4,56089.75,241210038,8903.2
23-APR-2026,56608.95,56868.7,56217.15,56305,336307548,12081.19
22-APR-2026,57163.35,57438.2,57002.15,57124.45,261934827,8290.54
21-APR-2026,56823.6,57456.3,56696.3,57371.45,281413848,12169.87
20-APR-2026,56704.05,57085.1,56356.55,56582.35,596140156,14322.75
17-APR-2026,56072.4,56628.7,55841.65,56565.7,290559933,9847.76
16-APR-2026,56657.25,56834.25,55898.25,56086.4,402203847,14096.58
15-APR-2026,56343.45,56786.25,56109.2,56301.95,267999991,11842.19
13-APR-2026,54646,55752.65,54356.2,55605.05,303606436,13923.52
10-APR-2026,55182.25,55978.5,55145.25,55912.75,281031417,11050.95
09-APR-2026,55505.95,55583.1,54626.85,54821.7,298789312,12761.46
08-APR-2026,54904.45,55778.25,54797.5,55703.9,443562335,18029.45
07-APR-2026,52258.7,52778.2,51868.45,52716.25,279734514,12333.3
06-APR-2026,51747.6,52704.55,51111.1,52609.1,355025586,10973.33
02-APR-2026,50625.65,51731.95,49954.85,51548.75,339187207,12190.88
01-APR-2026,51433.9,52025.85,51133.55,51448.65,370080617,14540.54
30-MAR-2026,51527.9,51624.5,50105.25,50275.35,564854267,19609.94
27-MAR-2026,53244.25,53292.5,52211.2,52274.6,652961325,17256.85
25-MAR-2026,53024.75,54146.15,53024.75,53708.1,348622900,13553.77
24-MAR-2026,52384.8,52949.15,51827.5,52605.65,340583044,14262.57
23-MAR-2026,52576.1,52665.3,51323.6,51437.75,397272538,13308.41
20-MAR-2026,53548.2,54382.45,53297.55,53427.05,403462742,17220.17
19-MAR-2026,53474.55,54150.3,53240.6,53451,395346799,20607.88
18-MAR-2026,54927.05,55554.15,54689.1,55326.05,223220072,7903.44
17-MAR-2026,54649.1,54996,54113.15,54876,277121654,11004.3
16-MAR-2026,53721.5,54664.15,53258.15,54413.4,390205387,13320.22
13-MAR-2026,54592.05,54713.75,53675.7,53757.85,327503656,11759.55
12-MAR-2026,55008.2,55636.95,54760.55,55100.95,311267722,12408.63
11-MAR-2026,56790.4,56938.4,55631.95,55735.75,261028306,9965.82
10-MAR-2026,56583.85,57097.05,56387.2,56950.8,346820170,13208.91
09-MAR-2026,56121.4,56274.15,55270.6,56019.8,374097683,12357.84
06-MAR-2026,58629.6,58807.15,57696.4,57783.25,256863138,12219.2
05-MAR-2026,59008.25,59274.35,58506.4,59055.85,273526525,11232.25
04-MAR-2026,58447.15,59058.4,58393.55,58755.25,363102095,12336.06
02-MAR-2026,59204.3,60177.5,59148,59839.65,387102246,11729.09
27-FEB-2026,61057.45,61086.45,60438.95,60529,369227038,13055.66
26-FEB-2026,61193.9,61284.75,60813.3,61187.7,602742091,16566.5
25-FEB-2026,61175.05,61317.55,60816.75,61043.35,321648989,10957.98
24-FEB-2026,61392.1,61435.65,60801.85,61047.3,587726979,13885.44
23-FEB-2026,61145.55,61517.8,61029.15,61264.25,841881403,13925.19
20-FEB-2026,60627.85,61360.5,60562.35,61172,219798497,8317.93
19-FEB-2026,61660.85,61678.8,60592.9,60739.55,190638669,7669.36
18-FEB-2026,61255.35,61596.85,61100.9,61550.8,218063267,6931.18
17-FEB-2026,60821.15,61241.6,60560,61174,264042737,10267.27
16-FEB-2026,59947.8,61011.3,59861.1,60949.1,168628013,6913.02
13-FEB-2026,60504.4,60621.9,60073.55,60186.65,236603159,11648.08
12-FEB-2026,60786.15,60864.4,60597.65,60739.75,266999047,12991.36
11-FEB-2026,60670.25,60779.95,60444.65,60745.35,235120784,10187.01
10-FEB-2026,60740.8,60797.55,60531.55,60626.4,215859015,10409.67
09-FEB-2026,60805.2,60876.2,60495.7,60669.35,263383179,11866.25
06-FEB-2026,59967.1,60149.9,59644.55,60120.55,204838843,7267.23
05-FEB-2026,60315.35,60328.3,59881.05,60063.65,231379745,7983.28
04-FEB-2026,60163.35,60389.4,59891.75,60238.15,255627301,8092.67
03-FEB-2026,61411.2,61764.85,59793.2,60041.3,368345752,16163.36
02-FEB-2026,58239.3,58687.05,57829.85,58619,282473569,9987.01
01-FEB-2026,59607.65,59865.7,57783.2,58417.2,204312522,5673.45
30-JAN-2026,59542.25,59906.9,59501.8,59610.45,317798499,12587.49
29-JAN-2026,59416.25,60060.7,59339,59957.85,617356910,16628.34
28-JAN-2026,59575.65,59699.9,59240.1,59598.8,289254779,11447.46
27-JAN-2026,58366.05,59436.8,58121.6,59205.45,388807148,16894.89
23-JAN-2026,59305.15,59400.15,58346.25,58473.1,323378832,10384.09
22-JAN-2026,59194.25,59573.1,58823.05,59200.1,300681497,11221.61
21-JAN-2026,59142,59447.35,58278.6,58800.3,331731071,10751.29
20-JAN-2026,59851.4,59993.5,59283.95,59404.2,396050764,11324.6
19-JAN-2026,60093.3,60107.5,59594.6,59891.35,492939689,13834.09
16-JAN-2026,59590.35,60235.15,59510.5,60095.15,478076895,14036.92
14-JAN-2026,59330.35,59796.65,59324.2,59580.15,341456051,12174.25
13-JAN-2026,59767.55,59767.55,59312.05,59578.8,224165921,9646.09
12-JAN-2026,59217.25,59541.1,58864.2,59450.5,262444337,7760.26
09-JAN-2026,59558.15,59739.65,59154.2,59251.55,272495773,9269.24
08-JAN-2026,59893.15,60112.85,59564.8,59686.5,312854042,8251.14
07-JAN-2026,60039.7,60065.4,59760.65,59990.85,376309588,11478.35
06-JAN-2026,59957.8,60305,59844.8,60118.4,295387172,11182.59
05-JAN-2026,60360.4,60437.35,59859.8,60044.2,318529309,8697.22
02-JAN-2026,59757.4,60203.75,59738.25,60150.95,250440812,6633.49
01-JAN-2026,59674.8,59743.2,59569.65,59711.55,110131396,3648.95
